tweet_id,retweet_count,favorite_count
863062471531167744,2260,8020
862831371563274240,4804,18228
862722525377298433,3301,16255
862457590147678208,4602,19416
862096992088072192,21611,70518
861383897657036800,10002,34311
861288531465048066,3868,16330
861005113778896900,3568,15896
860981674716409858,2010,0
860924035999428608,746,0
860563773140209665,2010,7131
860524505164394496,4977,22523
860276583193509888,3291,17509
860184849394610176,5477,15887
860177593139703809,29022,0
859924526012018688,3853,18691
859851578198683649,3299,14737
859607811541651456,1472,17795
859196978902773760,28343,85793
859074603037188101,12828,32299
858860390427611136,7643,0
858843525470990336,3276,14908
858471635011153920,4587,20583
858107933456039936,2737,15084
857989990357356544,2451,15409
857746408056729600,10053,32825
857393404942143489,1553,5637
857263160327368704,4279,19245
857214891891077121,17,215
857062103051644929,161,0
857029823797047296,3770,18084
856543823941562368,2734,15687
856526610513747968,1783,11409
856330835276025856,636,0
856288084350160898,15,494
856282028240666624,5981,26705
855862651834028034,24,323
855860136149123072,933,4731
855857698524602368,2006,11447
855851453814013952,17200,44148
855818117272018944,5176,25709
855459453768019968,7850,28739
855245323840757760,5684,0
855138241867124737,43,0
854732716440526848,5794,21986
854482394044301312,6561,28300
854365224396361728,4499,18269
854120357044912130,7152,30966
854010172552949760,3021,15727
853760880890318849,5512,27698
853639147608842240,9637,33596
853299958564483072,3427,15035
852936405516943360,1920,0
852912242202992640,1742,8766
852672615818899456,2077,14479
852553447878664193,3343,15842
852311364735569921,9590,32233
852226086759018497,6616,19456
852189679701164033,1538,11159
851861385021730816,19,0
851591660324737024,3351,15862
851464819735769094,6827,23660
851224888060895234,5559,20182
850753642995093505,8817,30062
850380195714523136,2526,12793
850333567704068097,317,3380
850145622816686080,3686,15963
850019790995546112,4727,19940
849776966551130114,7360,29725
849668094696017920,4808,0
849412302885593088,3067,15527
849336543269576704,1847,11180
849051919805034497,8232,41445
848690551926992896,4205,24673
848324959059550208,4502,24204
848213670039564288,709,8017
848212111729840128,2957,16015
847978865427394560,3171,0
847971574464610304,422,0
847962785489326080,4933,23072
847842811428974592,1291,5332
847617282490613760,402,6860
847606175596138505,3348,18444
847251039262605312,4215,20129
847157206088847362,5720,19539
847116187444137987,3106,21095
846874817362120707,3836,19740
846514051647705089,11260,43827
846505985330044928,2996,13873
846153765933735936,8827,31058
846139713627017216,9807,30550
846042936437604353,2800,15713
845812042753855489,8493,28738
845677943972139009,4700,24809
845397057150107648,1761,7508
845306882940190720,5276,22982
845098359547420673,7487,0
844979544864018432,2502,13439
844973813909606400,3118,14849
844580511645339650,3056,16239
844223788422217728,2157,13480
843981021012017153,2896,14977
843856843873095681,4537,21158
843604394117681152,2691,16667
843235543001513987,5913,21233
842846295480000512,3576,15102
842765311967449089,1255,6648
